keyword,category,routing,example,description
what,question_words,ollama,What is a REST API?,Asks for information or definition
why,question_words,ollama,Why is my code slow?,Asks for explanation or reasoning
how,question_words,ollama,How does recursion work?,Asks for explanation or method
when,question_words,ollama,When should I use async?,Asks for timing or conditions
where,question_words,ollama,Where are environment variables stored?,Asks for location or placement
who,question_words,ollama,Who maintains this library?,Asks about people or ownership
which,question_words,ollama,Which database should I choose?,Asks for a choice or recommendation
is,question_words,ollama,Is Python better than Java?,Yes/no question
are,question_words,ollama,Are closures used in Python?,Yes/no question
do,question_words,ollama,Do I need a virtual environment?,Yes/no question
does,question_words,ollama,Does Docker work on Windows?,Yes/no question
did,question_words,ollama,Did the build succeed?,Yes/no question about the past
can,question_words,ollama,Can I use SQLite for production?,Asks about possibility
could,question_words,ollama,Could you explain pointers?,Polite request for explanation
should,question_words,ollama,Should I use TypeScript?,Asks for advice
would,question_words,ollama,Would this approach scale?,Asks about a hypothetical outcome
tell me,question_words,ollama,Tell me about machine learning,Requests information
explain,question_words,ollama,Explain how DNS works,Requests explanation
define,question_words,ollama,Define idempotency,Requests definition
describe,question_words,ollama,Describe the MVC pattern,Requests description
summarize,question_words,ollama,Summarize this error message,Requests summary
compare,question_words,ollama,Compare React and Vue,Requests comparison
meaning,question_words,ollama,What is the meaning of polymorphism?,Requests meaning
difference,question_words,ollama,Difference between git merge and rebase,Requests difference
ask,question_words,ollama,I ask you about caching,Question context
give me,question_words,ollama,Give me an example of a closure,Requests an example
list,question_words,ollama,List the HTTP status codes,Requests enumeration
recommend,question_words,ollama,Recommend a Python web framework,Requests recommendation
suggest,question_words,ollama,Suggest a naming convention,Requests suggestion
advice,question_words,ollama,Give me advice on error handling,Requests advice
help me understand,question_words,ollama,Help me understand async/await,Requests understanding
teach,question_words,ollama,Teach me about Big O notation,Requests teaching
learn,question_words,ollama,I want to learn about databases,Learning intent
tutorial,question_words,ollama,Give me a tutorial on Git,Requests tutorial
guide,question_words,ollama,Guide me through setting up Docker,Requests guidance
example,question_words,ollama,Show me an example of a decorator,Requests an example
question_mark,question_words,ollama,What is an API?,Any command ending with ? is a question
create,code_action,opencode,Create a new React component,Action: generate new code
write,code_action,opencode,Write a Python script to parse CSV,Action: produce code
build,code_action,opencode,Build the project,Action: compile/build
fix,code_action,opencode,Fix the login bug,Action: repair code
refactor,code_action,opencode,Refactor the payment module,Action: restructure code
implement,code_action,opencode,Implement user authentication,Action: add functionality
add,code_action,opencode,Add a dark mode toggle,Action: add a feature
update,code_action,opencode,Update the dependencies,Action: modify existing code
modify,code_action,opencode,Modify the API endpoint,Action: change code
change,code_action,opencode,Change the color scheme,Action: alter code
improve,code_action,opencode,Improve the query performance,Action: enhance code
optimize,code_action,opencode,Optimize the image loading,Action: improve performance
rewrite,code_action,opencode,Rewrite the legacy module,Action: replace code
remove,code_action,opencode,Remove the unused imports,Action: delete code
delete,code_action,opencode,Delete the old migration,Action: remove code
rename,code_action,opencode,Rename the variable to userId,Action: rename identifiers
move,code_action,opencode,Move the utils to a shared folder,Action: relocate code
copy,code_action,opencode,Copy the config template,Action: duplicate code
convert,code_action,opencode,Convert this to TypeScript,Action: transform code
migrate,code_action,opencode,Migrate the database schema,Action: migrate data/schema
generate,code_action,opencode,Generate a CRUD API,Action: produce code
scaffold,code_action,opencode,Scaffold a new service,Action: generate project structure
setup,code_action,opencode,Set up the development environment,Action: configure environment
configure,code_action,opencode,Configure the CI pipeline,Action: set configuration
install,code_action,opencode,Install the dependencies,Action: install packages
uninstall,code_action,opencode,Uninstall the old package,Action: remove a package
deploy,code_action,opencode,Deploy to production,Action: release code
publish,code_action,opencode,Publish the package to npm,Action: release a package
release,code_action,opencode,Release version 2.0,Action: create a release
run,code_action,opencode,Run the test suite,Action: execute code
execute,code_action,opencode,Execute the migration script,Action: run code
start,code_action,opencode,Start the development server,Action: launch a process
stop,code_action,opencode,Stop the background worker,Action: halt a process
restart,code_action,opencode,Restart the API service,Action: restart a process
test,code_action,opencode,Test the checkout flow,Action: run tests
debug,code_action,opencode,Debug the memory leak,Action: find and fix bugs
troubleshoot,code_action,opencode,Troubleshoot the connection error,Action: diagnose issues
diagnose,code_action,opencode,Diagnose the slow startup,Action: analyze a problem
review,code_action,opencode,Review the pull request,Action: inspect code
inspect,code_action,opencode,Inspect the request payload,Action: examine code
analyze,code_action,opencode,Analyze the performance bottleneck,Action: study code
profile,code_action,opencode,Profile the CPU usage,Action: measure performance
